SALES_KEY,ORDER_KEY,CUSTOMER_KEY,PRODUCT_KEY,GEOGRAPHY_KEY,SALES,QUANTITY,DISCOUNT,PROFIT
1,2501,167,389,385,261.96,2,0.00,41.91
2,2501,167,850,385,731.94,3,0.00,219.58
3,2297,202,1448,499,14.62,2,0.00,6.87
4,2297,202,1448,500,14.62,2,0.00,6.87
5,2297,202,1448,501,14.62,2,0.00,6.87
6,2297,202,1448,502,14.62,2,0.00,6.87
7,2297,202,1448,503,14.62,2,0.00,6.87
8,2297,202,1448,498,14.62,2,0.00,6.87
9,4373,688,369,341,957.58,5,0.45,-383.03
10,4373,688,583,341,22.37,2,0.20,2.52
11,202,114,580,501,48.86,7,0.00,14.17
12,202,114,580,503,48.86,7,0.00,14.17
13,202,114,580,502,48.86,7,0.00,14.17
14,202,114,580,500,48.86,7,0.00,14.17
15,202,114,580,499,48.86,7,0.00,14.17
16,202,114,580,498,48.86,7,0.00,14.17
17,202,114,1141,498,7.28,4,0.00,1.97
18,202,114,1141,499,7.28,4,0.00,1.97
19,202,114,1141,500,7.28,4,0.00,1.97
20,202,114,1141,501,7.28,4,0.00,1.97
21,202,114,1141,502,7.28,4,0.00,1.97
22,202,114,1141,503,7.28,4,0.00,1.97
23,202,114,1104,501,907.15,6,0.20,90.72
24,202,114,1104,503,907.15,6,0.20,90.72
25,202,114,1104,502,907.15,6,0.20,90.72
26,202,114,1104,500,907.15,6,0.20,90.72
27,202,114,1104,499,907.15,6,0.20,90.72
28,202,114,1104,498,907.15,6,0.20,90.72
29,202,114,502,498,18.50,3,0.20,5.78
30,202,114,502,499,18.50,3,0.20,5.78
31,202,114,502,500,18.50,3,0.20,5.78
32,202,114,502,501,18.50,3,0.20,5.78
33,202,114,502,502,18.50,3,0.20,5.78
34,202,114,502,503,18.50,3,0.20,5.78
35,202,114,305,501,114.90,5,0.00,34.47
36,202,114,305,503,114.90,5,0.00,34.47
37,202,114,305,502,114.90,5,0.00,34.47
38,202,114,305,500,114.90,5,0.00,34.47
39,202,114,305,499,114.90,5,0.00,34.47
40,202,114,305,498,114.90,5,0.00,34.47
41,202,114,430,498,1706.18,9,0.20,85.31
42,202,114,430,499,1706.18,9,0.20,85.31
43,202,114,430,500,1706.18,9,0.20,85.31
44,202,114,430,501,1706.18,9,0.20,85.31
45,202,114,430,502,1706.18,9,0.20,85.31
46,202,114,430,503,1706.18,9,0.20,85.31
47,202,114,977,500,911.42,4,0.20,68.36
48,202,114,977,503,911.42,4,0.20,68.36
49,202,114,977,502,911.42,4,0.20,68.36
50,202,114,977,501,911.42,4,0.20,68.36
51,202,114,977,498,911.42,4,0.20,68.36
52,202,114,977,499,911.42,4,0.20,68.36
53,3085,32,1801,404,15.55,3,0.20,5.44
54,2656,337,659,628,407.98,3,0.20,132.59
55,2656,337,659,629,407.98,3,0.20,132.59
