ORDER_KEY,SOURCE_ORDER_ID,ORDER_DATE,SHIP_DATE,SHIPMODE_ID
1,CA-2014-100006,2014-09-07,2014-09-13,4
2,CA-2014-100090,2014-07-08,2014-07-12,4
3,CA-2014-100293,2014-03-14,2014-03-18,4
4,CA-2014-100328,2014-01-28,2014-02-03,4
5,CA-2014-100363,2014-04-08,2014-04-15,4
6,CA-2014-100391,2014-05-25,2014-05-29,4
7,CA-2014-100678,2014-04-18,2014-04-22,4
8,CA-2014-100706,2014-12-16,2014-12-18,3
9,CA-2014-100762,2014-11-24,2014-11-29,4
10,CA-2014-100860,2014-03-26,2014-03-30,3
11,CA-2014-100867,2014-10-19,2014-10-24,4
12,CA-2014-100881,2014-03-28,2014-04-01,4
13,CA-2014-100895,2014-06-02,2014-06-06,4
14,CA-2014-100916,2014-10-21,2014-10-26,4
15,CA-2014-100972,2014-11-19,2014-11-24,3
16,CA-2014-101147,2014-12-02,2014-12-04,1
17,CA-2014-101175,2014-12-09,2014-12-14,4
18,CA-2014-101266,2014-08-27,2014-08-30,3
19,CA-2014-101364,2014-12-22,2014-12-26,4
20,CA-2014-101392,2014-12-07,2014-12-13,4
21,CA-2014-101427,2014-12-26,2014-12-30,4
22,CA-2014-101462,2014-04-20,2014-04-25,4
23,CA-2014-101476,2014-09-12,2014-09-13,1
24,CA-2014-101560,2014-11-28,2014-12-01,3
25,CA-2014-101602,2014-12-15,2014-12-18,1
26,CA-2014-101770,2014-03-31,2014-04-04,4
27,CA-2014-101833,2014-11-17,2014-11-22,3
28,CA-2014-101931,2014-10-28,2014-10-31,1
29,CA-2014-102008,2014-09-30,2014-10-04,4
30,CA-2014-102085,2014-10-04,2014-10-09,4
31,CA-2014-102274,2014-11-21,2014-11-26,4
32,CA-2014-102295,2014-11-24,2014-11-26,3
33,CA-2014-102330,2014-12-29,2015-01-03,4
34,CA-2014-102645,2014-01-23,2014-01-28,4
35,CA-2014-102652,2014-04-06,2014-04-12,4
36,CA-2014-102673,2014-11-01,2014-11-05,4
37,CA-2014-102869,2014-09-09,2014-09-14,3
38,CA-2014-102988,2014-04-05,2014-04-09,3
39,CA-2014-103058,2014-07-23,2014-07-24,1
40,CA-2014-103086,2014-10-17,2014-10-19,3
41,CA-2014-103100,2014-12-20,2014-12-23,1
42,CA-2014-103191,2014-09-22,2014-09-27,4
43,CA-2014-103219,2014-11-09,2014-11-13,4
44,CA-2014-103310,2014-05-10,2014-05-15,4
45,CA-2014-103317,2014-07-05,2014-07-08,1
46,CA-2014-103331,2014-08-26,2014-09-01,4
47,CA-2014-103366,2014-01-15,2014-01-17,1
48,CA-2014-103373,2014-05-18,2014-05-24,4
49,CA-2014-103401,2014-11-21,2014-11-26,4
50,CA-2014-103429,2014-05-30,2014-06-01,1
51,CA-2014-103492,2014-10-10,2014-10-15,4
52,CA-2014-103527,2014-09-09,2014-09-14,3
53,CA-2014-103590,2014-11-30,2014-12-04,4
54,CA-2014-103660,2014-08-25,2014-08-30,4
55,CA-2014-103702,2014-09-12,2014-09-17,4
56,CA-2014-103744,2014-02-23,2014-02-27,4
57,CA-2014-103800,2014-01-03,2014-01-07,4
58,CA-2014-103807,2014-12-02,2014-12-09,4
59,CA-2014-103849,2014-05-11,2014-05-16,4
60,CA-2014-103940,2014-09-17,2014-09-21,4
61,CA-2014-103989,2014-03-19,2014-03-21,1
62,CA-2014-104178,2014-08-25,2014-08-29,4
63,CA-2014-104269,2014-03-01,2014-03-06,3
64,CA-2014-104283,2014-06-27,2014-07-01,4
65,CA-2014-104402,2014-06-17,2014-06-23,4
66,CA-2014-104472,2014-06-02,2014-06-07,4
67,CA-2014-104563,2014-03-07,2014-03-12,4
68,CA-2014-104738,2014-12-30,2015-01-01,3
69,CA-2014-104773,2014-12-08,2014-12-13,4
70,CA-2014-104780,2014-05-21,2014-05-25,4
71,CA-2014-104808,2014-02-04,2014-02-08,3
72,CA-2014-104829,2014-11-18,2014-11-21,3
73,CA-2014-104976,2014-12-09,2014-12-16,4
74,CA-2014-105165,2014-09-07,2014-09-10,1
75,CA-2014-105172,2014-04-04,2014-04-09,4
76,CA-2014-105249,2014-11-28,2014-11-28,2
77,CA-2014-105270,2014-11-11,2014-11-18,4
78,CA-2014-105340,2014-11-22,2014-11-25,1
79,CA-2014-105417,2014-01-07,2014-01-12,4
80,CA-2014-105648,2014-03-03,2014-03-07,4
81,CA-2014-105872,2014-05-30,2014-06-06,4
82,CA-2014-105893,2014-11-11,2014-11-18,4
83,CA-2014-105984,2014-11-24,2014-11-24,2
84,CA-2014-106054,2014-01-06,2014-01-07,1
85,CA-2014-106229,2014-06-07,2014-06-11,3
86,CA-2014-106264,2014-12-26,2014-12-30,4
87,CA-2014-106376,2014-12-05,2014-12-10,4
88,CA-2014-106439,2014-10-31,2014-11-04,4
89,CA-2014-106572,2014-09-05,2014-09-10,4
90,CA-2014-106719,2014-08-24,2014-08-24,2
91,CA-2014-106726,2014-12-06,2014-12-08,1
92,CA-2014-106803,2014-12-29,2015-01-02,4
93,CA-2014-106810,2014-05-14,2014-05-20,4
94,CA-2014-106971,2014-09-02,2014-09-08,4
95,CA-2014-107139,2014-07-05,2014-07-11,4
96,CA-2014-107153,2014-09-28,2014-10-03,4
97,CA-2014-107181,2014-02-04,2014-02-08,4
98,CA-2014-107398,2014-08-25,2014-08-30,4
99,CA-2014-107454,2014-11-02,2014-11-06,4
100,CA-2014-107524,2014-03-02,2014-03-08,4
101,CA-2014-107573,2014-12-12,2014-12-17,4
102,CA-2014-107594,2014-07-02,2014-07-06,4
103,CA-2014-107706,2014-02-14,2014-02-19,3
104,CA-2014-107755,2014-02-07,2014-02-12,4
105,CA-2014-107769,2014-10-28,2014-11-01,4
106,CA-2014-107811,2014-04-29,2014-05-03,4
107,CA-2014-107818,2014-09-08,2014-09-14,4
108,CA-2014-107916,2014-08-24,2014-08-26,1
109,CA-2014-108147,2014-06-08,2014-06-13,4
110,CA-2014-108182,2014-02-06,2014-02-10,3
111,CA-2014-108189,2014-10-02,2014-10-05,1
112,CA-2014-108273,2014-12-16,2014-12-21,4
113,CA-2014-108609,2014-10-31,2014-11-02,3
114,CA-2014-108707,2014-10-24,2014-10-29,4
115,CA-2014-108861,2014-05-28,2014-06-01,4
116,CA-2014-108903,2014-10-03,2014-10-03,2
117,CA-2014-109043,2014-08-15,2014-08-17,1
118,CA-2014-109127,2014-12-21,2014-12-25,4
119,CA-2014-109134,2014-11-05,2014-11-10,4
120,CA-2014-109218,2014-06-30,2014-07-03,3
121,CA-2014-109232,2014-01-13,2014-01-16,3
122,CA-2014-109302,2014-08-12,2014-08-16,4
123,CA-2014-109491,2014-02-20,2014-02-26,4
124,CA-2014-109680,2014-10-06,2014-10-09,1
125,CA-2014-109855,2014-09-01,2014-09-05,4
126,CA-2014-109890,2014-07-21,2014-07-27,4
127,CA-2014-109897,2014-08-12,2014-08-16,4
128,CA-2014-109904,2014-07-14,2014-07-17,3
129,CA-2014-109918,2014-09-07,2014-09-12,3
130,CA-2014-109932,2014-12-09,2014-12-11,1
131,CA-2014-110030,2014-12-06,2014-12-08,3
132,CA-2014-110065,2014-08-05,2014-08-11,4
133,CA-2014-110072,2014-10-22,2014-10-28,4
